loc_rowid,pl_pnum,hip_name
425,2,HIP 64457
426,2,HIP 8770
427,2,HIP 8770
428,2,HIP 65117
429,2,HIP 65117
430,1,HIP 65808
431,1,HIP 9242
432,1,HIP 66047
433,1,HIP 66192
434,1,
435,2,HIP 9094
436,2,HIP 9094
437,1,HIP 8928
438,1,HIP 66903
439,1,HIP 68162
440,1,HIP 9519
441,1,HIP 69888
442,1,HIP 70170
443,3,HIP 70123
444,3,HIP 70123
445,3,HIP 70123
446,1,HIP 10800
447,1,HIP 70695
448,2,HIP 9683
449,2,HIP 9683
450,1,HIP 70623
451,2,HIP 71395
452,2,HIP 71395
453,1,HIP 71481
454,1,HIP 72203
455,1,HIP 72339
456,1,HIP 72845
457,1,HIP 73408
458,1,HIP 9960
459,1,HIP 10085
460,1,HIP 73146
461,1,HIP 73261 A
462,2,HIP 73674 A
463,2,HIP 73674 A
464,1,HIP 73674 B
465,2,HIP 74273
466,2,HIP 74273
467,2,HIP 74500
468,2,HIP 74500
469,3,HIP 75181
470,3,HIP 75181
471,3,HIP 75181
472,1,HIP 74961
473,1,HIP 10278
474,1,HIP 76351
475,2,HIP 10743
476,2,HIP 10743
477,1,HIP 10626
478,1,HIP 76311
479,1,HIP 1419
480,1,HIP 10657
481,4,HIP 77301
482,4,HIP 77301
483,4,HIP 77301
484,4,HIP 77301
485,1,HIP 77740
486,2,HIP 522
487,2,HIP 522
488,1,HIP 79242
489,1,HIP 77783
490,1,HIP 78169
491,1,HIP 77838
492,1,HIP 78521
493,1,HIP 79346
494,1,HIP 79219
495,1,
496,2,HIP 1499
497,2,HIP 1499
498,2,HIP 80250
499,2,HIP 80250
500,1,HIP 79755
501,1,HIP 80337
502,1,HIP 11130
503,2,HIP 80486
504,2,HIP 80486
505,1,HIP 80680
506,2,HIP 80484
507,2,HIP 80484
508,1,HIP 80489
509,1,HIP 80687
510,1,HIP 80838
511,1,HIP 81022
512,1,HIP 1547
513,1,HIP 80902
514,1,HIP 82632
515,1,HIP 82651
516,2,HIP 11433
517,2,HIP 11433
518,1,HIP 83547
519,1,HIP 83389
520,1,HIP 83983
521,2,HIP 84069
522,2,HIP 84069
523,1,HIP 84056
524,2,HIP 83949
525,2,HIP 83949
526,2,HIP 84171
527,2,HIP 84171
528,1,HIP 84787
529,1,HIP 84607
530,1,HIP 84856
531,1,HIP 85294
532,5,HIP 85268
533,5,HIP 85268
534,5,HIP 85268
535,5,HIP 85268
536,5,HIP 85268
537,1,HIP 84769
538,2,HIP 85911
539,2,HIP 85911
540,2,HIP 86375
541,2,HIP 86375
542,2,HIP 1640
543,2,HIP 1640
544,4,HIP 86796
545,4,HIP 86796
546,4,HIP 86796
547,4,HIP 86796
548,1,HIP 12048
549,1,HIP 12191
550,1,HIP 87330
551,2,HIP 87601
552,2,HIP 87601
553,1,HIP 12186
554,1,HIP 88268
555,1,HIP 88194
556,1,HIP 88414
557,2,HIP 88348
558,2,HIP 88348
559,1,HIP 88650
560,1,HIP 1666
561,1,HIP 89354
562,1,HIP 89047
563,2,HIP 89844
564,2,HIP 89844
565,1,HIP 90004
566,1,HIP 1692
567,2,HIP 90485
568,2,HIP 90485
569,1,HIP 90593
570,1,
571,1,
572,1,HIP 91085
573,1,HIP 13192
574,1,HIP 91852
575,1,HIP 93281
576,1,HIP 92895
577,1,HIP 93373
578,1,HIP 13291
579,2,HIP 93540
580,2,HIP 93540
581,1,HIP 93858
582,2,HIP 93746
583,2,HIP 93746
584,1,HIP 94075
585,1,HIP 94256
586,1,HIP 94645
587,1,HIP 94465
588,1,HIP 13467
589,1,HIP 94576
590,1,HIP 94761
591,1,HIP 94951
592,1,HIP 95015
593,1,HIP 95124
594,3,HIP 95467
595,3,HIP 95467
596,3,HIP 95467
597,1,HIP 95262
598,2,HIP 95740
599,2,HIP 95740
600,1,HIP 96507
601,1,HIP 97546
602,2,HIP 97336
603,2,HIP 97336
604,1,HIP 13993
605,1,HIP 97769
606,1,HIP 98505
607,2,HIP 98767
608,2,HIP 98767
609,1,HIP 99115
610,1,HIP 99496
611,1,HIP 99306
612,1,HIP 99711
613,2,HIP 99825
614,2,HIP 99825
615,1,HIP 99894
616,1,HIP 100970
617,1,HIP 101806
618,1,HIP 102125
619,1,HIP 101966
620,1,HIP 101948
621,1,HIP 14954
622,2,HIP 14530
623,2,HIP 14530
624,2,HIP 104202
625,2,HIP 104202
626,1,HIP 104903
627,2,HIP 105056
628,2,HIP 105056
629,1,
630,1,HIP 105232
631,1,HIP 105521
632,1,HIP 1931
633,2,HIP 106006
634,2,HIP 106006
635,1,HIP 106353
636,1,HIP 106824
637,1,HIP 107160
638,1,HIP 107251
639,4,HIP 15526
